problemId,score
629,6
32,0
41,0
449,4
134,0.96
628,6
33,6
41,6
31,0
445,6
628,6
33,6
35,6
31,0
134,6
3,0
32,0.48
41,0
449,0
445,6
628,0
32,0
41,0
449,0
134,0
628,0
33,0
41,0
449,0
445,0
628,0
32,0
41,0
31,0
445,0
628,0
33,0
35,0
449,0
134,0
629,0
33,0
35,0
449,6
134,0
629,6
32,6
41,2.7
31,0
445,6
628,0
32,0
35,0
31,0
445,0
629,6
33,0
35,0
31,0
134,0
3,6
32,6
41,6
31,0
445,6
628,0
32,0
41,0
449,0
134,0
628,0
33,0
41,0
449,0
445,0
3,0
32,0
41,0
449,0
445,0
3,0
33,0
35,0
31,0
134,0
629,0
32,0
41,6
449,4
134,0
3,6
32,0
35,0
31,0
134,0
629,6
32,6
41,0
449,4
445,6
629,6
33,2.52
41,6
31,0
445,6
628,0
32,0
35,0
449,0
445,0
628,6
32,0.48
41,6
31,0
134,0.96
3,0
33,0
35,0
449,4
445,6
629,6
32,0
41,6
449,6
445,6
629,6
33,0.84
41,6
31,0
134,0.96
629,6
33,6
41,6
449,6
445,6
629,6
33,0.84
35,0
449,6
445,6
628,6
32,6
35,0.6
31,3
445,6
3,6
33,6
35,6
31,3
445,6
629,6
33,4.32
35,0
31,0
445,6
628,6
33,1.8
41,6
449,6
445,6
628,6
32,6
35,6
31,0
134,0.96
628,5
33,6
35,0.6
449,4
134,0
628,6
32,6
41,6
449,6
445,6
628,6
32,6
35,6
31,0
445,6
629,6
33,6
35,6
31,3
134,0
628,6
32,6
41,6
31,0
445,6
628,6
33,0
35,0
31,0
445,6
3,0
32,6
41,6
31,0
445,6
629,6
33,1.8
41,6
449,6
445,6
3,0
32,6
35,6
31,3
134,0
3,0
33,0
41,5
31,0
134,0
628,3
33,0
35,0
449,0
445,0
628,6
33,2.52
41,6
31,0
134,0.96
629,6
33,1.8
35,0.6
31,0
134,6
629,6
32,6
35,0
31,0
134,6
629,6
32,6
35,6
31,0
445,6
629,6
32,6
35,0.6
31,0
445,6
3,6
32,6
35,6
449,6
445,6
3,0
33,0.84
35,6
31,0
134,0.96
3,0
32,6
41,6
31,0
134,0
628,6
33,6
35,0
449,6
134,0.96
3,0
33,2.64
35,0.6
31,0
445,6
3,0
32,6
35,0
31,0
134,0
628,6
33,6
35,6
449,6
445,6
629,6
33,4.32
41,6
449,6
134,6
628,6
33,4.32
41,0.54
449,6
445,6
628,6
33,6
35,0
449,6
445,6
629,6
33,0.84
41,6
31,0
134,0.96
628,0
32,0
41,0
449,4
134,3.84
3,0
33,2.52
41,6
31,6
445,6
629,6
32,6
35,0.6
31,6
134,1.92
3,0
33,0
35,0
31,0
445,6
628,6
32,6
35,0.6
31,3
445,6
3,0
33,0
35,0.6
31,0
445,6
3,0
32,6
41,6
449,6
134,0.96
628,6
33,0
41,6
31,0
134,2.88
3,0
33,1.8
35,0
449,0
134,0
3,0
32,0.48
35,0
31,0
134,0.96
629,6
32,6
35,6
31,0
134,0.96
3,0
32,6
35,0.6
449,6
445,6
628,3
32,0.48
35,0.6
31,0
445,6
629,6
32,6
35,0
31,0
445,6
3,6
33,4.32
41,6
449,6
445,6
628,6
33,0
41,6
31,0
445,6
628,3
32,0.48
35,1.2
449,5
445,6
3,0
32,0.48
41,0.54
449,0
445,4.8
629,6
32,6
35,0
449,4
134,0
628,6
32,6
41,6
31,0
134,0
629,6
33,0.84
41,6
449,6
134,0.96
3,0
32,0.48
41,2.7
449,0
134,0.96
629,6
33,0.84
41,0.54
449,0
445,6
629,6
33,6
41,6
31,0
134,0
628,6
32,6
35,0
31,0
445,6
629,6
33,1.8
41,0
31,0
445,6
629,6
32,6
35,2.4
449,6
445,6
628,6
32,6
41,6
31,0
134,1.92
629,6
33,0.84
35,6
31,0
445,6
3,0
32,6
41,0
449,6
134,0.96
628,6
32,6
41,6
31,0
134,0
628,6
32,6
41,6
449,6
445,6
629,6
32,6
35,6
31,0
134,0
3,0
33,0
41,6
31,0
445,6
628,6
33,0.84
41,6
31,0
445,6
628,6
33,0
41,6
31,0
134,0.96
3,6
33,6
41,6
449,6
445,6
3,0
33,4.32
35,0
449,6
445,6
628,6
33,0
35,0
31,0
134,0.96
629,6
32,6
35,6
449,6
445,6
3,6
32,6
41,6
31,3
134,0.96
629,6
32,6
41,6
449,6
445,6
3,0
33,6
35,6
449,4
445,6
628,4
33,0.84
41,4
31,6
445,2.4
629,6
33,0.84
41,4.38
449,4
445,6
3,0
33,0
41,6
449,6
134,1.92
629,6
33,0.84
35,0.6
449,6
134,0
628,0
33,0
35,0
449,6
445,6
629,6
33,6
35,0.6
449,6
445,6
629,6
32,6
41,6
31,0
445,6
628,6
33,0
35,6
449,6
134,0
629,6
32,6
41,6
449,6
134,6
628,6
33,2.52
41,6
449,4
445,3.6
628,0
32,6
35,0
31,0
134,0
629,6
33,6
35,6
449,6
445,6
628,6
32,6
35,0.6
31,0
134,0.96
3,0
32,0
41,6
31,0
445,6
628,6
32,6
41,1.14
31,0
445,6
628,6
32,0.48
41,6
31,0
445,6
628,6
32,6
35,6
449,6
134,3.84
629,0
33,0
41,0
449,0
134,0
629,6
33,0.84
35,1.8
449,6
134,3.84
628,6
32,6
41,6
31,0
445,6
629,6
33,0
41,5
31,0
445,0
3,0
32,6
35,0
449,0
445,0
3,0
32,6
41,6
31,3
445,6
628,0
32,0
35,0
449,0
445,0
629,6
33,0
41,6
449,0
445,6
629,0
32,0
35,0
31,0
445,0
628,0
33,0
35,0
449,0
134,0
629,0
32,6
35,0.6
31,0
445,6
629,6
32,6
35,0.6
449,5
134,6
3,0
32,6
41,6
449,4
445,6
629,6
33,2.52
41,6
31,0
445,4
628,0
33,0
35,0
31,0
134,0
628,4
32,6
41,4
31,0
134,0.96
3,0
32,6
35,0
449,0
445,1.2
3,6
33,1.68
35,0.6
449,4
134,6
3,0
32,0
41,0
31,0
445,0
3,6
33,4.32
41,4
449,4
445,6
629,6
33,0
41,6
449,0
134,5
629,6
32,6
35,1.2
449,6
445,6
629,6
32,6
35,0.6
449,0
445,6
629,0
32,0
35,0
449,0
134,0
3,0
32,6
35,0
31,6
445,6
629,0
33,0
41,0
449,0
134,0
628,4
32,0.48
35,0.6
449,0
134,0.96
3,0
32,6
35,6
449,4
134,0
629,6
32,6
41,0
31,0
134,0
3,0
32,0
35,0
449,0
445,0
3,0
33,2.52
41,1.14
449,4
445,6
3,0
32,6
35,0
449,6
134,0
628,4
32,6
35,6
31,3
134,0
3,0
32,0
41,0
31,0
445,0
628,4
32,6
35,0
449,0
134,0
3,6
33,0.84
35,4
449,4
445,6
629,0
33,0
35,0
449,0
445,0
629,6
33,0
35,0
449,0
445,0
3,0
33,0
35,0
31,0
445,0
628,4
32,0.48
41,4
449,4
445,6
3,0
32,0.48
35,0
449,0
445,6
628,6
33,0
41,6
31,0
134,0
628,6
33,4.32
41,6
31,0
134,4.08
629,6
33,0
41,6
31,0
134,6
628,6
32,6
35,0
31,0
445,6
628,6
33,0
35,6
449,4
445,6
629,6
33,0.84
35,6
449,4
134,6
628,6
32,6
35,0.6
31,0
445,6
3,6
33,4.32
35,6
449,0
445,6
629,6
33,0.84
41,6
31,0
134,0.96
3,0
32,0.48
35,0.6
31,6
134,1.92
3,6
32,6
35,0
31,6
445,6
629,6
33,2.52
35,0.6
449,4
445,6
629,6
32,5.52
35,0
449,6
445,6
3,6
32,6
35,0
31,3
445,6
3,0
32,6
41,0
31,6
445,6
628,6
33,0
35,0
31,0
134,0
3,0
33,0.84
41,6
449,4
445,6
3,6
32,6
41,6
31,3
445,6
3,0
32,6
35,0
31,0
445,6
629,6
32,6
41,6
31,0
134,0.96
628,6
32,6
41,6
449,4
134,0
629,6
33,0
41,0
31,0
134,0
3,0
33,0
35,6
449,0
445,6
3,0
32,0.96
41,2.7
449,4
134,0.96
628,6
32,6
35,0.6
31,0
134,0
629,6
33,4.32
35,0.6
449,6
134,0.96
628,0
32,0
41,0
31,0
445,0
629,6
32,0.48
41,0
31,0
445,6
628,4
33,6
35,0
31,0
134,0.96
628,4
32,6
41,4
449,4
134,0
629,6
32,6
41,6
449,4
445,6
3,0
32,6
41,4
31,0
445,6
3,6
32,6
35,6
31,0
445,6
3,0
32,6
35,0
449,4
134,0
3,0
33,0
35,0
31,0
445,6
3,0
32,6
35,0
31,0
445,6
628,0
33,0
35,0
449,0
134,0
3,4
33,0
41,6
31,0
134,0.96
3,0
32,6
41,0
31,0
134,0.96
628,6
33,0
35,5.4
31,0
445,6
628,6
32,6
41,0
449,0
134,0
628,4
32,0
35,0
449,4
134,0
628,6
33,0
41,0
449,0
445,6
3,0
33,0
41,4
449,0
445,0
3,0
33,0.84
41,0
449,0
134,0
628,4
33,0
41,0
31,6
134,0
3,0
32,6
41,6
449,4
445,6
628,6
32,6
35,1.8
31,0
134,6
3,6
32,6
35,0.6
31,0
445,6
3,0
33,0
41,4
449,0
134,0
629,6
33,4.32
41,6
449,6
445,6
3,6
32,6
41,6
31,0
445,6
628,4
32,6
35,0
31,0
134,0
3,6
33,6
35,6
31,0
445,6
628,6
32,6
41,6
31,0
445,6
629,6
32,6
35,0
449,4
445,6
3,6
32,6
35,6
31,0
445,6
3,0
32,6
35,0
31,0
445,6
3,0
32,6
35,0
31,0
445,6
